email_address,phone,country,invoice_total
john.dijkstra94@example.com,+74235690879,NL,3479.47
  tony.dijkstra95@example.com ,+63567182445,GB,3462.65
ada.liskov96@example.com,+10246760242,US,361.21
grace.liskov97@example.com,+9842507418,DE,3362.01
alan.liskov98@example.com,+76428315250,FR,97.07
edsger.liskov99@example.com,+28798311855,NL,4315.35
  barbara.liskov100@example.com ,+98737647215,GB,4991.16
donald.liskov101@example.com,+7735650865,US,2982.06
john.liskov102@example.com,+4963136479,DE,4700.99
tony.liskov103@example.com,+98532250819,FR,1872.82
ada.knuth104@example.com,+27517764233,NL,599.06
  grace.knuth105@example.com ,+13355943807,GB,898.51
alan.knuth106@example.com,+42212053562,US,827.84
edsger.knuth107@example.com,+18880676451,DE,1184.35
barbara.knuth108@example.com,+59945328705,FR,4545.07
donald.knuth109@example.com,+96460833150,NL,3982.71
  john.knuth110@example.com ,+79472034782,GB,1939.23
tony.knuth111@example.com,+66191310162,US,4460.37
ada.backus112@example.com,+70947949970,DE,2856.78
grace.backus113@example.com,+26114608446,FR,271.36
alan.backus114@example.com,+67422841370,NL,1647.61
  edsger.backus115@example.com ,+77126075593,GB,1897.05
barbara.backus116@example.com,+3747599767,US,3188.22
donald.backus117@example.com,+3251892635,DE,3723.3
john.backus118@example.com,+67693094865,FR,2678.48
tony.backus119@example.com,+92108762298,NL,2224.3
  ada.hoare120@example.com ,+13999371322,GB,4523.48
grace.hoare121@example.com,+22672040166,US,4090.92
alan.hoare122@example.com,+46760830948,DE,4614.19
edsger.hoare123@example.com,+2287045978,FR,4186.79
barbara.hoare124@example.com,+23224288279,NL,2689.43
  donald.hoare125@example.com ,+3416687433,GB,1165.53
john.hoare126@example.com,+94390918452,US,858.64
tony.hoare127@example.com,+51191664057,DE,383.79
ada.lovelace128@example.com,+73467421769,FR,252.63
grace.lovelace129@example.com,+98112083870,NL,3204.41
  alan.lovelace130@example.com ,+60875207043,GB,4094.01
edsger.lovelace131@example.com,+49312309337,US,4449.43
barbara.lovelace132@example.com,+23395201765,DE,725.77
donald.lovelace133@example.com,+35596026577,FR,4510.74
john.lovelace134@example.com,+47382275440,NL,3873.75
  tony.lovelace135@example.com ,+55307836227,GB,1737.72
ada.hopper136@example.com,+1168824065,US,1660.67
grace.hopper137@example.com,+6898113958,DE,882.9
alan.hopper138@example.com,+23533481896,FR,2519.26
edsger.hopper139@example.com,+72939991917,NL,3676.38
  barbara.hopper140@example.com ,+28728204846,GB,2476.87
donald.hopper141@example.com,+95353119671,US,2550.31
john.hopper142@example.com,+83177571068,DE,1046.74
tony.hopper143@example.com,+88663061078,FR,4567.73
ada.turing144@example.com,+77726402385,NL,2944.66
  grace.turing145@example.com ,+1341687662,GB,3267.41
alan.turing146@example.com,+24317537396,US,4429.17
edsger.turing147@example.com,+87779859890,DE,505.34
barbara.turing148@example.com,+42373401467,FR,237.36
donald.turing149@example.com,+74201289811,NL,3879.79
